Index,Variant,"Major area, region, country or area *",Notes,Country code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
99.0,Estimates,Maldives,,462.0,-0.057,-0.274,-1.207,-5.318,3.831,0.0,0.0,-2.525,-2.575,-0.823,-0.072,-0.033,-0.03
100.0,Estimates,Nepal,,524.0,-0.913,-1.659,-1.336,-0.368,-0.092,-0.582,-1.28,-2.441,0.758,-4.119,-7.496,-7.819,-2.689
101.0,Estimates,Pakistan,,586.0,-0.042,-0.078,-0.39,-0.771,-0.442,1.933,3.161,0.28,-1.961,-1.117,-1.23,-1.603,-1.206
102.0,Estimates,Sri Lanka,,144.0,-0.39,-1.602,-0.904,-0.652,-2.21,-3.299,-5.068,-1.641,-2.876,-4.987,-4.693,-5.236,-4.739
103.0,Estimates,South-Eastern Asia,,920.0,-0.019,-0.026,-0.017,-0.413,-0.044,-0.83,-0.042,-0.005,-0.806,-0.179,-0.834,-1.919,-0.469
104.0,Estimates,Brunei Darussalam,,96.0,18.165,17.385,11.302,18.509,11.021,6.357,1.756,0.203,0.975,1.184,1.325,1.293,1.03
105.0,Estimates,Cambodia,,116.0,0.0,0.0,0.0,-6.672,-3.431,-2.383,-2.458,-1.863,8.312,6.089,-0.551,-4.277,-2.004
106.0,Estimates,Indonesia,,360.0,-0.181,-0.263,-0.229,-0.075,-0.147,-0.291,-0.063,-0.193,-0.404,-0.338,-0.778,-0.955,-0.561
107.0,Estimates,Lao People's Democratic Republic,,418.0,-0.001,0.005,0.007,0.002,0.003,-12.618,-2.026,0.007,-1.985,-5.147,-6.317,-3.922,-3.604
108.0,Estimates,Malaysia,8.0,458.0,-0.66,0.134,1.82,-0.366,-0.535,-0.106,2.136,5.126,3.07,3.602,3.989,4.839,3.08
109.0,Estimates,Myanmar,,104.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,-0.994,-3.229,-2.329,-5.623,-5.768,-1.796
